year_month,industry,ratio,country
202310,K-라이프스타일푸드,37.35,일본
202310,K-쇼핑,24.05,일본
202310,K-한식,14.25,일본
202310,K-뷰티웰니스,9.95,일본
202310,K-패션,11.65,일본
202310,K-문화체험,1.41,일본
202310,K-나이트컬처,0.83,일본
202310,K-스포츠,0.29,일본
202310,K-공연,0.2,일본
202311,K-라이프스타일푸드,35.89,일본
202311,K-쇼핑,24.55,일본
202311,K-한식,14.51,일본
202311,K-뷰티웰니스,10.16,일본
202311,K-패션,12.39,일본
202311,K-문화체험,1.28,일본
202311,K-나이트컬처,0.76,일본
202311,K-스포츠,0.27,일본
202311,K-공연,0.18,일본
202312,K-라이프스타일푸드,37.8,일본
202312,K-쇼핑,25.02,일본
202312,K-한식,14.35,일본
202312,K-뷰티웰니스,9.53,일본
202312,K-패션,10.62,일본
202312,K-문화체험,1.38,일본
202312,K-나이트컬처,0.79,일본
202312,K-스포츠,0.27,일본
202312,K-공연,0.24,일본
202401,K-라이프스타일푸드,38.09,일본
202401,K-쇼핑,24.52,일본
202401,K-한식,14.58,일본
202401,K-뷰티웰니스,9.72,일본
202401,K-패션,10.48,일본
202401,K-문화체험,1.32,일본
202401,K-나이트컬처,0.76,일본
202401,K-스포츠,0.27,일본
202401,K-공연,0.26,일본
202402,K-라이프스타일푸드,38.59,일본
202402,K-쇼핑,23.49,일본
202402,K-한식,13.92,일본
202402,K-뷰티웰니스,9.6,일본
202402,K-패션,11.73,일본
202402,K-문화체험,1.48,일본
202402,K-나이트컬처,0.72,일본
202402,K-스포츠,0.26,일본
202402,K-공연,0.2,일본
202403,K-라이프스타일푸드,38.34,일본
202403,K-쇼핑,23.31,일본
202403,K-한식,13.8,일본
202403,K-뷰티웰니스,9.38,일본
202403,K-패션,12.65,일본
202403,K-문화체험,1.48,일본
202403,K-나이트컬처,0.61,일본
202403,K-스포츠,0.25,일본
202403,K-공연,0.17,일본
202404,K-라이프스타일푸드,38.91,일본
202404,K-쇼핑,22.71,일본
202404,K-한식,14.25,일본
202404,K-뷰티웰니스,10.03,일본
202404,K-패션,11.37,일본
202404,K-문화체험,1.49,일본
202404,K-나이트컬처,0.74,일본
202404,K-스포츠,0.28,일본
202404,K-공연,0.21,일본
202405,K-라이프스타일푸드,38.47,일본
202405,K-쇼핑,23.26,일본
202405,K-한식,14.38,일본
202405,K-뷰티웰니스,10.05,일본
202405,K-패션,11.09,일본
202405,K-문화체험,1.46,일본
202405,K-나이트컬처,0.76,일본
202405,K-스포츠,0.3,일본
202405,K-공연,0.22,일본
202406,K-라이프스타일푸드,38.65,일본
202406,K-쇼핑,22.42,일본
202406,K-한식,13.57,일본
202406,K-뷰티웰니스,11.15,일본
202406,K-패션,11.59,일본
202406,K-문화체험,1.38,일본
202406,K-나이트컬처,0.72,일본
202406,K-스포츠,0.29,일본
202406,K-공연,0.22,일본
202407,K-라이프스타일푸드,38.38,일본
202407,K-쇼핑,22.66,일본
202407,K-한식,13.91,일본
202407,K-뷰티웰니스,10.75,일본
202407,K-패션,11.64,일본
202407,K-문화체험,1.47,일본
202407,K-나이트컬처,0.7,일본
202407,K-스포츠,0.28,일본
202407,K-공연,0.22,일본
202408,K-라이프스타일푸드,39.87,일본
202408,K-쇼핑,22.52,일본
202408,K-한식,13.87,일본
202408,K-뷰티웰니스,9.5,일본
